"county_full","state_id","lng","lat","population","SVI","COUNTY","COUNTYTYPE"
"Madison County","TX",-95.9284,30.9655,13556,0.7194,"Madison","County"
"Madison Parish","LA",-91.2427,32.3644,10028,1,"Madison","Parish"
"Manatee County","FL",-82.3153,27.4719,405069,0.303,"Manatee","County"
"Marengo County","AL",-87.7895,32.2477,19180,0.5303,"Marengo","County"
"Marion County","AL",-87.8871,34.1366,29203,0.7121,"Marion","County"
"Marion County","FL",-82.0567,29.2102,378225,0.6212,"Marion","County"
"Marion County","MS",-89.8224,31.2308,24362,0.679,"Marion","County"
"Marion County","TX",-94.3572,32.798,9668,0.3439,"Marion","County"
"Martin County","FL",-80.4315,27.0775,159399,0.1212,"Martin","County"
"Mason County","TX",-99.2261,30.7177,3959,0.0553,"Mason","County"
"Matagorda County","TX",-96.011,28.8212,36251,0.8775,"Matagorda","County"
"McCulloch County","TX",-99.3475,31.1989,7638,0.5613,"McCulloch","County"
"McMullen County","TX",-98.5679,28.3526,670,0.6838,"McMullen","County"
"Menard County","TX",-99.8206,30.8898,1964,0.7312,"Menard","County"
"Miami-Dade County","FL",-80.5624,25.615,2688237,0.8939,"Miami-Dade","County"
"Milam County","TX",-96.9768,30.7863,25080,0.5257,"Milam","County"
"Mills County","TX",-98.5954,31.4952,4501,0.1107,"Mills","County"
"Mobile County","AL",-88.2058,30.7877,413878,0.7424,"Mobile","County"
"Monroe County","AL",-87.3654,31.5709,19816,0.6212,"Monroe","County"
"Monroe County","FL",-81.1089,25.3192,82044,0.3939,"Monroe","County"
"Monroe County","MS",-88.4805,33.8923,34168,0.0741,"Monroe","County"
"Montague County","TX",-97.7246,33.6757,20197,0.2134,"Montague","County"
"Montgomery County","AL",-86.2076,32.2203,228132,0.8939,"Montgomery","County"
"Montgomery County","MS",-89.6164,33.4941,9803,0.7407,"Montgomery","County"
"Montgomery County","TX",-95.503,30.3002,629989,0.166,"Montgomery","County"
"Morehouse Parish","LA",-91.8018,32.8202,25438,0.873,"Morehouse","Parish"
"Morris County","TX",-94.7326,33.1135,11993,0.4427,"Morris","County"
"Motley County","TX",-100.7798,34.0741,1223,0.0435,"Motley","County"
"Nacogdoches County","TX",-94.6159,31.616,64768,0.917,"Nacogdoches","County"
"Nassau County","FL",-81.8019,30.6107,91538,0.0152,"Nassau","County"
"Natchitoches Parish","LA",-93.0962,31.7234,37478,0.7778,"Natchitoches","Parish"
"Navarro County","TX",-96.4725,32.047,52834,0.9368,"Navarro","County"
"Neshoba County","MS",-89.1176,32.7535,28970,0.716,"Neshoba","County"
"Newton County","MS",-89.1188,32.4002,21275,0.1852,"Newton","County"
"Newton County","TX",-93.7448,30.7863,12333,0.7273,"Newton","County"
"Noxubee County","MS",-88.5698,33.1102,10261,0.9136,"Noxubee","County"
"Nueces County","TX",-97.6134,27.7254,353245,0.7708,"Nueces","County"
"Okaloosa County","FL",-86.5917,30.6913,212021,0.2121,"Okaloosa","County"
"Okeechobee County","FL",-80.8886,27.3864,39870,0.9242,"Okeechobee","County"
"Oktibbeha County","MS",-88.8793,33.4249,51388,0.2099,"Oktibbeha","County"
"Orange County","FL",-81.3235,28.5144,1427403,0.8182,"Orange","County"
"Orange County","TX",-93.8939,30.1213,84761,0.2925,"Orange","County"
"Orleans Parish","LA",-89.9289,30.0687,380408,0.6825,"Orleans","Parish"
"Osceola County","FL",-81.1495,28.0626,393745,0.7424,"Osceola","County"
