Tract,CountyFips,BldgSchemesId,Tract6,TractArea,Length,NumAggrBocks,CenLat,CenLongit,ESRI_OID,FID,CountyFips_1,CountyFi_1,CountyName,State,StateFips,NumTracts
45013010400,45013,1,10400,18.367672,106.4090881,55,32.198597,-80.748779,151,1156,45013,13,Beaufort,SC,45,42
45013010500,45013,1,10500,10.3597555,50.3852005,48,32.222607,-80.75206,152,1156,45013,13,Beaufort,SC,45,42
45013010600,45013,1,10600,9.054987,58.2253647,32,32.242786,-80.732285,153,1156,45013,13,Beaufort,SC,45,42
45013010700,45013,1,10700,10.9864197,71.0041733,30,32.242558,-80.71312,154,1156,45013,13,Beaufort,SC,45,42
45013010800,45013,1,10800,6.6346164,33.8222771,25,32.220867,-80.700661,155,1156,45013,13,Beaufort,SC,45,42
45013010900,45013,1,10900,5.5616837,34.2228432,22,32.219818,-80.680931,156,1156,45013,13,Beaufort,SC,45,42
45013011000,45013,1,11000,7.2252316,26.6929379,31,32.199368,-80.704819,157,1156,45013,13,Beaufort,SC,45,42
45013011100,45013,1,11100,9.3640308,56.418129,60,32.173645,-80.721916,158,1156,45013,13,Beaufort,SC,45,42
45013011200,45013,1,11200,2.0935731,20.0196667,38,32.148598,-80.743454,159,1156,45013,13,Beaufort,SC,45,42
45013011300,45013,1,11300,1.5555623,11.0201912,12,32.139801,-80.761246,160,1156,45013,13,Beaufort,SC,45,42
45015020101,45015,1,20101,208.4139099,244.311676,73,33.355061,-80.17778,161,625,45015,15,Berkeley,SC,45,48
45015020102,45015,1,20102,267.9925232,327.5419617,102,33.19619,-80.258041,162,625,45015,15,Berkeley,SC,45,48
45015020201,45015,1,20201,112.09552,224.4625244,126,33.389866,-79.911835,163,625,45015,15,Berkeley,SC,45,48
45015020202,45015,1,20202,337.7555237,397.3158264,129,33.42067,-80.039108,164,625,45015,15,Berkeley,SC,45,48
45015020301,45015,1,20301,167.6804047,275.700531,66,33.292603,-79.852898,165,625,45015,15,Berkeley,SC,45,48
45015020303,45015,1,20303,47.6144371,93.8078918,49,33.348137,-79.947472,166,625,45015,15,Berkeley,SC,45,48
45015020304,45015,1,20304,122.4568405,201.923645,117,33.269234,-79.941116,167,625,45015,15,Berkeley,SC,45,48
45015020401,45015,1,20401,827.456543,1173.817993,219,33.192795,-79.796913,168,625,45015,15,Berkeley,SC,45,48
45015020404,45015,1,20404,82.5022659,112.4634933,116,32.91161,-79.887268,169,625,45015,15,Berkeley,SC,45,48
45015020405,45015,1,20405,220.0354156,349.1436768,108,33.008511,-79.826843,170,625,45015,15,Berkeley,SC,45,48
45015020406,45015,1,20406,12.4255428,42.4940567,77,32.87814,-79.901428,171,625,45015,15,Berkeley,SC,45,48
